shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP007001,ORD107001,CUST4123,2026-07-08,Bengaluru_WH03,Ahmedabad,Delhi,DHL,Truck,8.25,1842,3494.6,In Transit
SHP007002,ORD107002,CUST5004,2026-07-08,Hyderabad_WH04,Mumbai,Hyderabad,FedEx,Bike,15.26,1624,3186.32,Delivered
SHP007003,ORD107003,CUST5742,2026-07-08,Mumbai_WH02,Kolkata,Chennai,Blue Dart,Mini Truck,9.85,989,1978.4,In Transit
SHP007004,ORD107004,CUST7588,2026-07-08,Chennai_WH05,Ahmedabad,Mumbai,DHL,Mini Truck,3.53,568,1144.76,In Transit
SHP007005,ORD107005,CUST2923,2026-07-08,Bengaluru_WH03,Ahmedabad,Jaipur,FedEx,Truck,15.76,1447,2873.72,Delivered
SHP007006,ORD107006,CUST4599,2026-07-08,Delhi_WH01,Kolkata,Mumbai,Blue Dart,Bike,36.05,2469,4956.8,Returned
SHP007007,ORD107007,CUST2125,2026-07-08,Chennai_WH05,Kolkata,Jaipur,Blue Dart,Bike,34.69,254,953.48,Delivered
SHP007008,ORD107008,CUST5065,2026-07-08,Hyderabad_WH04,Jaipur,Pune,FedEx,Bike,14.69,1329,2648.48,Delivered
SHP007009,ORD107009,CUST7549,2026-07-08,Hyderabad_WH04,Lucknow,Mumbai,DHL,Truck,17.09,2170,4191.08,Delivered
SHP007010,ORD107010,CUST3229,2026-07-08,Delhi_WH01,Chennai,Kolkata,DHL,Mini Truck,49.0,421,1425.8,Delayed
SHP007011,ORD107011,CUST3230,2026-07-08,Bengaluru_WH03,Ahmedabad,Pune,DHL,Truck,39.31,1208,2726.12,Delivered
SHP007012,ORD107012,CUST9184,2026-07-08,Bengaluru_WH03,Lucknow,Mumbai,DHL,Van,8.95,1039,2057.6,Delivered
SHP007013,ORD107013,CUST6451,2026-07-08,Hyderabad_WH04,Jaipur,Bengaluru,Blue Dart,Mini Truck,34.08,2070,4214.96,Delivered
SHP007014,ORD107014,CUST4427,2026-07-08,Bengaluru_WH03,Hyderabad,Kolkata,Ecom Express,Truck,39.99,726,1866.68,In Transit
SHP007015,ORD107015,CUST3683,2026-07-08,Mumbai_WH02,Ahmedabad,Lucknow,Delhivery,Van,37.95,270,1021.4,In Transit
SHP007016,ORD107016,CUST6277,2026-07-08,Chennai_WH05,Mumbai,Hyderabad,DHL,Truck,30.61,1232,2664.92,Delivered
SHP007017,ORD107017,CUST4532,2026-07-08,Bengaluru_WH03,Delhi,Bengaluru,Ecom Express,Truck,18.68,1882,3691.76,Delivered
SHP007018,ORD107018,CUST4536,2026-07-08,Mumbai_WH02,Pune,Ahmedabad,DHL,Mini Truck,40.9,701,1832.6,In Transit
SHP007019,ORD107019,CUST2247,2026-07-08,Chennai_WH05,Hyderabad,Lucknow,Ecom Express,Truck,46.04,1364,3087.68,Delivered
SHP007020,ORD107020,CUST9427,2026-07-08,Hyderabad_WH04,Lucknow,Bengaluru,Blue Dart,Truck,3.89,2295,4257.68,In Transit
SHP007021,ORD107021,CUST9067,2026-07-08,Chennai_WH05,Lucknow,Kolkata,FedEx,Mini Truck,40.55,469,1410.8,Delivered
SHP007022,ORD107022,CUST1409,2026-07-08,Hyderabad_WH04,Lucknow,Chennai,FedEx,Van,10.93,1234,2432.36,Delivered
SHP007023,ORD107023,CUST8084,2026-07-08,Chennai_WH05,Ahmedabad,Pune,Blue Dart,Mini Truck,30.61,126,674.12,In Transit
SHP007024,ORD107024,CUST4240,2026-07-08,Hyderabad_WH04,Delhi,Chennai,FedEx,Van,19.27,553,1306.64,In Transit
SHP007025,ORD107025,CUST3204,2026-07-08,Bengaluru_WH03,Jaipur,Mumbai,Blue Dart,Bike,6.48,1507,2870.36,Delivered
SHP007026,ORD107026,CUST3761,2026-07-08,Hyderabad_WH04,Hyderabad,Jaipur,Ecom Express,Truck,4.04,621,1246.28,Delivered
SHP007027,ORD107027,CUST6491,2026-07-08,Chennai_WH05,Ahmedabad,Kolkata,Ecom Express,Mini Truck,13.91,1982,3814.52,Delivered
SHP007028,ORD107028,CUST6196,2026-07-08,Chennai_WH05,Kolkata,Jaipur,Ecom Express,Truck,22.4,1110,2346.8,Delivered
SHP007029,ORD107029,CUST6752,2026-07-08,Bengaluru_WH03,Ahmedabad,Jaipur,Delhivery,Van,39.86,2181,4484.12,Delivered
SHP007030,ORD107030,CUST8051,2026-07-08,Delhi_WH01,Delhi,Mumbai,Blue Dart,Mini Truck,31.46,1302,2801.12,Delivered
SHP007031,ORD107031,CUST4258,2026-07-08,Chennai_WH05,Delhi,Bengaluru,Blue Dart,Truck,39.17,167,850.64,Returned
SHP007032,ORD107032,CUST1401,2026-07-08,Bengaluru_WH03,Mumbai,Ahmedabad,Ecom Express,Mini Truck,8.03,1084,2127.56,In Transit
SHP007033,ORD107033,CUST2091,2026-07-08,Hyderabad_WH04,Kolkata,Pune,Ecom Express,Van,32.43,396,1181.96,Delivered
SHP007034,ORD107034,CUST4384,2026-07-08,Delhi_WH01,Lucknow,Kolkata,FedEx,Van,22.65,1351,2783.6,Delivered
SHP007035,ORD107035,CUST9418,2026-07-08,Bengaluru_WH03,Lucknow,Chennai,FedEx,Truck,47.31,1488,3326.12,Delivered
SHP007036,ORD107036,CUST8422,2026-07-08,Chennai_WH05,Lucknow,Chennai,Blue Dart,Mini Truck,29.69,1864,3791.48,Cancelled
SHP007037,ORD107037,CUST6083,2026-07-08,Hyderabad_WH04,Jaipur,Ahmedabad,Delhivery,Van,3.07,746,1459.64,Delivered
SHP007038,ORD107038,CUST4014,2026-07-08,Hyderabad_WH04,Hyderabad,Ahmedabad,Ecom Express,Mini Truck,14.78,499,1155.56,Delivered
SHP007039,ORD107039,CUST9014,2026-07-08,Mumbai_WH02,Kolkata,Lucknow,Blue Dart,Truck,44.46,1724,3716.72,In Transit
SHP007040,ORD107040,CUST7108,2026-07-08,Mumbai_WH02,Jaipur,Kolkata,Blue Dart,Bike,39.92,2105,4348.04,Delivered
SHP007041,ORD107041,CUST3158,2026-07-08,Bengaluru_WH03,Pune,Hyderabad,Ecom Express,Van,40.08,2257,4623.56,Delivered
SHP007042,ORD107042,CUST7581,2026-07-08,Mumbai_WH02,Lucknow,Jaipur,Ecom Express,Van,29.49,1130,2467.88,Delivered
SHP007043,ORD107043,CUST5649,2026-07-08,Mumbai_WH02,Mumbai,Lucknow,DHL,Bike,36.55,1315,2885.6,Delivered
SHP007044,ORD107044,CUST9852,2026-07-08,Delhi_WH01,Jaipur,Ahmedabad,DHL,Van,13.62,1014,2068.64,Delivered
SHP007045,ORD107045,CUST8034,2026-07-08,Delhi_WH01,Lucknow,Hyderabad,Blue Dart,Van,17.96,1171,2403.32,In Transit
SHP007046,ORD107046,CUST5425,2026-07-08,Delhi_WH01,Lucknow,Bengaluru,Delhivery,Truck,6.0,862,1703.6,Delivered
SHP007047,ORD107047,CUST8655,2026-07-08,Chennai_WH05,Hyderabad,Chennai,Delhivery,Bike,39.57,981,2320.64,Delivered
SHP007048,ORD107048,CUST3570,2026-07-08,Delhi_WH01,Hyderabad,Lucknow,DHL,Bike,42.27,1231,2803.04,Delivered
SHP007049,ORD107049,CUST3826,2026-07-08,Hyderabad_WH04,Delhi,Chennai,DHL,Mini Truck,25.85,1572,3219.8,Delivered
SHP007050,ORD107050,CUST4360,2026-07-08,Hyderabad_WH04,Delhi,Pune,FedEx,Mini Truck,35.8,2018,4142.0,Delivered
SHP007051,ORD107051,CUST4034,2026-07-08,Hyderabad_WH04,Mumbai,Bengaluru,DHL,Truck,22.5,2419,4704.2,Delivered
SHP007052,ORD107052,CUST4104,2026-07-08,Chennai_WH05,Lucknow,Delhi,Blue Dart,Bike,6.54,626,1285.28,In Transit
SHP007053,ORD107053,CUST2620,2026-07-08,Chennai_WH05,Mumbai,Chennai,Blue Dart,Truck,31.89,458,1287.08,Returned
SHP007054,ORD107054,CUST4197,2026-07-08,Bengaluru_WH03,Chennai,Ahmedabad,Blue Dart,Bike,48.51,2082,4409.72,Delivered
SHP007055,ORD107055,CUST2112,2026-07-08,Bengaluru_WH03,Hyderabad,Delhi,FedEx,Bike,5.52,755,1505.24,Delivered
SHP007056,ORD107056,CUST1721,2026-07-08,Mumbai_WH02,Lucknow,Chennai,FedEx,Mini Truck,11.39,234,637.88,Delivered
SHP007057,ORD107057,CUST1721,2026-07-08,Delhi_WH01,Lucknow,Ahmedabad,DHL,Mini Truck,27.53,98,586.76,Delivered
SHP007058,ORD107058,CUST2561,2026-07-08,Hyderabad_WH04,Ahmedabad,Mumbai,Delhivery,Mini Truck,8.95,1302,2531.0,Returned
SHP007059,ORD107059,CUST3766,2026-07-08,Chennai_WH05,Ahmedabad,Delhi,Delhivery,Bike,0.74,1059,1995.08,Delayed
SHP007060,ORD107060,CUST2003,2026-07-08,Chennai_WH05,Jaipur,Mumbai,FedEx,Van,38.82,1547,3330.44,Delivered
SHP007061,ORD107061,CUST4655,2026-07-08,Mumbai_WH02,Jaipur,Hyderabad,DHL,Van,20.56,169,630.92,Delivered
SHP007062,ORD107062,CUST1943,2026-07-08,Mumbai_WH02,Jaipur,Pune,FedEx,Truck,34.06,1967,4029.32,In Transit
SHP007063,ORD107063,CUST7252,2026-07-08,Chennai_WH05,Mumbai,Delhi,Blue Dart,Truck,30.54,2336,4651.28,Delivered
SHP007064,ORD107064,CUST9367,2026-07-08,Hyderabad_WH04,Kolkata,Ahmedabad,Ecom Express,Bike,22.6,1885,3744.2,In Transit
SHP007065,ORD107065,CUST8178,2026-07-08,Bengaluru_WH03,Bengaluru,Hyderabad,Ecom Express,Bike,36.92,376,1199.84,Delivered
SHP007066,ORD107066,CUST5637,2026-07-08,Mumbai_WH02,Jaipur,Chennai,Ecom Express,Bike,12.63,2069,3955.76,Returned
