shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP009001,ORD109001,CUST5688,2026-07-10,Delhi_WH01,Mumbai,Chennai,Delhivery,Van,1.48,1960,3625.76,Delivered
SHP009002,ORD109002,CUST4289,2026-07-10,Mumbai_WH02,Hyderabad,Ahmedabad,DHL,Mini Truck,40.47,1105,2554.64,Delivered
SHP009003,ORD109003,CUST5816,2026-07-10,Delhi_WH01,Hyderabad,Delhi,Delhivery,Van,27.22,1528,3157.04,Delivered
SHP009004,ORD109004,CUST7266,2026-07-10,Mumbai_WH02,Chennai,Jaipur,Blue Dart,Van,8.02,911,1816.04,Delivered
SHP009005,ORD109005,CUST3012,2026-07-10,Chennai_WH05,Kolkata,Pune,FedEx,Truck,18.25,1667,3299.6,Delivered
SHP009006,ORD109006,CUST8025,2026-07-10,Chennai_WH05,Pune,Hyderabad,Blue Dart,Van,6.74,757,1523.48,In Transit
SHP009007,ORD109007,CUST6886,2026-07-10,Mumbai_WH02,Chennai,Jaipur,FedEx,Bike,17.34,1379,2770.28,Delivered
SHP009008,ORD109008,CUST8889,2026-07-10,Chennai_WH05,Lucknow,Hyderabad,DHL,Mini Truck,16.35,1831,3572.0,In Transit
SHP009009,ORD109009,CUST4920,2026-07-10,Chennai_WH05,Delhi,Pune,Blue Dart,Mini Truck,49.1,1127,2697.8,Delivered
SHP009010,ORD109010,CUST7888,2026-07-10,Hyderabad_WH04,Chennai,Lucknow,FedEx,Mini Truck,18.45,2087,4058.0,Delivered
SHP009011,ORD109011,CUST1121,2026-07-10,Bengaluru_WH03,Jaipur,Hyderabad,Ecom Express,Van,3.18,2331,4313.96,Returned
SHP009012,ORD109012,CUST8678,2026-07-10,Delhi_WH01,Jaipur,Delhi,DHL,Truck,19.17,1246,2552.84,Delivered
SHP009013,ORD109013,CUST3993,2026-07-10,Hyderabad_WH04,Mumbai,Delhi,Blue Dart,Mini Truck,38.54,289,1062.68,Delivered
SHP009014,ORD109014,CUST8574,2026-07-10,Delhi_WH01,Delhi,Chennai,FedEx,Mini Truck,24.12,2037,4036.04,Delivered
SHP009015,ORD109015,CUST3849,2026-07-10,Chennai_WH05,Pune,Jaipur,Delhivery,Bike,12.07,1436,2809.64,Delivered
SHP009016,ORD109016,CUST3428,2026-07-10,Delhi_WH01,Chennai,Kolkata,Delhivery,Bike,18.28,309,855.56,Delivered
SHP009017,ORD109017,CUST9555,2026-07-10,Hyderabad_WH04,Lucknow,Delhi,Blue Dart,Bike,4.23,1377,2609.36,Delivered
SHP009018,ORD109018,CUST9686,2026-07-10,Mumbai_WH02,Lucknow,Mumbai,FedEx,Bike,5.02,1242,2375.84,Delivered
