shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP010001,ORD110001,CUST5541,2026-07-11,Delhi_WH01,Mumbai,Kolkata,Ecom Express,Bike,40.72,2148,4435.04,Delivered
SHP010002,ORD110002,CUST4496,2026-07-11,Bengaluru_WH03,Jaipur,Mumbai,Ecom Express,Truck,12.27,1605,3116.24,Delivered
SHP010003,ORD110003,CUST4581,2026-07-11,Hyderabad_WH04,Delhi,Hyderabad,Ecom Express,Van,21.4,1060,2244.8,Delivered
SHP010004,ORD110004,CUST7053,2026-07-11,Delhi_WH01,Bengaluru,Ahmedabad,Blue Dart,Mini Truck,7.1,2293,4292.6,Delivered
SHP010005,ORD110005,CUST9588,2026-07-11,Chennai_WH05,Mumbai,Ahmedabad,Delhivery,Bike,32.54,594,1539.68,Delivered
SHP010006,ORD110006,CUST2124,2026-07-11,Hyderabad_WH04,Pune,Chennai,DHL,Van,16.74,1527,3029.48,In Transit
SHP010007,ORD110007,CUST3002,2026-07-11,Hyderabad_WH04,Hyderabad,Chennai,Delhivery,Van,20.61,762,1698.92,In Transit
SHP010008,ORD110008,CUST3129,2026-07-11,Mumbai_WH02,Chennai,Bengaluru,DHL,Mini Truck,22.73,511,1272.56,Delivered
SHP010009,ORD110009,CUST4569,2026-07-11,Hyderabad_WH04,Hyderabad,Kolkata,Delhivery,Mini Truck,10.67,850,1738.04,Delivered
SHP010010,ORD110010,CUST2003,2026-07-11,Mumbai_WH02,Jaipur,Bengaluru,DHL,Mini Truck,11.15,1908,3648.2,Delivered
SHP010011,ORD110011,CUST9641,2026-07-11,Chennai_WH05,Chennai,Kolkata,Delhivery,Van,4.3,1125,2156.6,Delivered
SHP010012,ORD110012,CUST4778,2026-07-11,Mumbai_WH02,Mumbai,Ahmedabad,Ecom Express,Mini Truck,23.7,2309,4520.6,Delivered
SHP010013,ORD110013,CUST8790,2026-07-11,Chennai_WH05,Jaipur,Bengaluru,Ecom Express,Mini Truck,12.88,2290,4356.56,Delivered
SHP010014,ORD110014,CUST1391,2026-07-11,Delhi_WH01,Jaipur,Delhi,Blue Dart,Bike,46.82,1212,2823.44,In Transit
SHP010015,ORD110015,CUST6859,2026-07-11,Bengaluru_WH03,Bengaluru,Chennai,Ecom Express,Mini Truck,32.57,1035,2333.84,Delayed
SHP010016,ORD110016,CUST8563,2026-07-11,Chennai_WH05,Chennai,Lucknow,DHL,Van,6.73,1652,3134.36,In Transit
SHP010017,ORD110017,CUST5638,2026-07-11,Delhi_WH01,Bengaluru,Jaipur,Blue Dart,Van,17.26,1948,3793.52,Delivered
SHP010018,ORD110018,CUST3680,2026-07-11,Mumbai_WH02,Kolkata,Ahmedabad,Blue Dart,Truck,6.3,1634,3096.8,Delivered
SHP010019,ORD110019,CUST7752,2026-07-11,Mumbai_WH02,Hyderabad,Lucknow,Ecom Express,Bike,36.13,1982,4081.16,Delivered
SHP010020,ORD110020,CUST1293,2026-07-11,Mumbai_WH02,Kolkata,Pune,DHL,Van,6.67,837,1666.64,Delivered
