shipment_id,order_id,customer_id,shipment_date,warehouse,origin_city,destination_city,carrier,vehicle_type,weight_kg,distance_km,shipping_cost,status
SHP006001,ORD106001,CUST8778,2026-07-07,Bengaluru_WH03,Pune,Kolkata,Ecom Express,Mini Truck,37.32,1613,3431.24,Returned
SHP006002,ORD106002,CUST8833,2026-07-07,Mumbai_WH02,Jaipur,Kolkata,Delhivery,Mini Truck,37.99,2436,4920.68,Delivered
SHP006003,ORD106003,CUST8753,2026-07-07,Hyderabad_WH04,Kolkata,Bengaluru,FedEx,Truck,4.81,794,1566.92,Delivered
SHP006004,ORD106004,CUST6710,2026-07-07,Delhi_WH01,Delhi,Mumbai,DHL,Truck,4.97,2210,4117.64,In Transit
SHP006005,ORD106005,CUST9894,2026-07-07,Chennai_WH05,Bengaluru,Ahmedabad,Delhivery,Truck,30.2,1757,3605.0,Returned
SHP006006,ORD106006,CUST1643,2026-07-07,Chennai_WH05,Kolkata,Jaipur,FedEx,Bike,47.97,2210,4633.64,Delayed
SHP006007,ORD106007,CUST2734,2026-07-07,Hyderabad_WH04,Pune,Delhi,Delhivery,Truck,6.14,1153,2229.08,Delivered
SHP006008,ORD106008,CUST7283,2026-07-07,Hyderabad_WH04,Chennai,Kolkata,FedEx,Mini Truck,13.96,1377,2726.12,Delivered
SHP006009,ORD106009,CUST5377,2026-07-07,Mumbai_WH02,Chennai,Ahmedabad,Delhivery,Van,1.54,1344,2517.68,Delivered
SHP006010,ORD106010,CUST9159,2026-07-07,Hyderabad_WH04,Kolkata,Delhi,Delhivery,Van,41.47,323,1159.04,Delayed
SHP006011,ORD106011,CUST9378,2026-07-07,Mumbai_WH02,Bengaluru,Ahmedabad,DHL,Bike,8.75,1049,2073.2,Delivered
SHP006012,ORD106012,CUST3783,2026-07-07,Mumbai_WH02,Lucknow,Pune,DHL,Van,25.77,114,594.44,Delivered
SHP006013,ORD106013,CUST9831,2026-07-07,Mumbai_WH02,Ahmedabad,Lucknow,FedEx,Bike,25.58,1106,2377.76,Delivered
SHP006014,ORD106014,CUST9047,2026-07-07,Mumbai_WH02,Lucknow,Bengaluru,DHL,Mini Truck,49.69,1375,3151.28,Delivered
SHP006015,ORD106015,CUST1127,2026-07-07,Bengaluru_WH03,Bengaluru,Lucknow,Ecom Express,Truck,13.15,835,1740.8,Delivered
SHP006016,ORD106016,CUST9749,2026-07-07,Chennai_WH05,Chennai,Lucknow,Delhivery,Truck,43.48,2017,4232.36,Delivered
SHP006017,ORD106017,CUST4356,2026-07-07,Hyderabad_WH04,Hyderabad,Bengaluru,FedEx,Mini Truck,47.33,808,2102.36,Delivered
